Date,PercentOfBaseline,Country,AirportName,State
3/16/2020,97,United States of America (the),Boston Logan International ,Massachusetts
3/17/2020,94,United States of America (the),Boston Logan International ,Massachusetts
3/18/2020,93,United States of America (the),Boston Logan International ,Massachusetts
3/19/2020,80,United States of America (the),Boston Logan International ,Massachusetts
3/20/2020,89,United States of America (the),Boston Logan International ,Massachusetts
3/21/2020,90,United States of America (the),Boston Logan International ,Massachusetts
3/22/2020,89,United States of America (the),Boston Logan International ,Massachusetts
3/23/2020,78,United States of America (the),Boston Logan International ,Massachusetts
3/24/2020,79,United States of America (the),Boston Logan International ,Massachusetts
3/25/2020,82,United States of America (the),Boston Logan International ,Massachusetts
3/26/2020,76,United States of America (the),Boston Logan International ,Massachusetts
3/27/2020,72,United States of America (the),Boston Logan International ,Massachusetts
3/28/2020,70,United States of America (the),Boston Logan International ,Massachusetts
3/29/2020,68,United States of America (the),Boston Logan International ,Massachusetts
3/30/2020,63,United States of America (the),Boston Logan International ,Massachusetts
3/31/2020,71,United States of America (the),Boston Logan International ,Massachusetts
4/1/2020,66,United States of America (the),Boston Logan International ,Massachusetts
4/2/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/3/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/4/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/5/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/6/2020,66,United States of America (the),Boston Logan International ,Massachusetts
4/7/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/8/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/9/2020,53,United States of America (the),Boston Logan International ,Massachusetts
4/10/2020,57,United States of America (the),Boston Logan International ,Massachusetts
4/11/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/12/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/13/2020,59,United States of America (the),Boston Logan International ,Massachusetts
4/14/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/15/2020,59,United States of America (the),Boston Logan International ,Massachusetts
4/16/2020,53,United States of America (the),Boston Logan International ,Massachusetts
4/17/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/18/2020,61,United States of America (the),Boston Logan International ,Massachusetts
4/19/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/20/2020,48,United States of America (the),Boston Logan International ,Massachusetts
4/21/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/22/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/23/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/24/2020,54,United States of America (the),Boston Logan International ,Massachusetts
4/25/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/26/2020,64,United States of America (the),Boston Logan International ,Massachusetts
4/27/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/28/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/29/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/30/2020,56,United States of America (the),Boston Logan International ,Massachusetts
5/1/2020,59,United States of America (the),Boston Logan International ,Massachusetts
5/2/2020,66,United States of America (the),Boston Logan International ,Massachusetts
5/3/2020,53,United States of America (the),Boston Logan International ,Massachusetts
5/4/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/5/2020,57,United States of America (the),Boston Logan International ,Massachusetts
5/6/2020,60,United States of America (the),Boston Logan International ,Massachusetts
5/7/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/8/2020,63,United States of America (the),Boston Logan International ,Massachusetts
5/9/2020,56,United States of America (the),Boston Logan International ,Massachusetts
5/10/2020,52,United States of America (the),Boston Logan International ,Massachusetts
5/11/2020,61,United States of America (the),Boston Logan International ,Massachusetts
5/12/2020,59,United States of America (the),Boston Logan International ,Massachusetts
5/13/2020,61,United States of America (the),Boston Logan International ,Massachusetts
5/14/2020,56,United States of America (the),Boston Logan International ,Massachusetts
5/15/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/16/2020,53,United States of America (the),Boston Logan International ,Massachusetts
5/17/2020,51,United States of America (the),Boston Logan International ,Massachusetts
5/18/2020,62,United States of America (the),Boston Logan International ,Massachusetts
5/19/2020,62,United States of America (the),Boston Logan International ,Massachusetts
5/20/2020,62,United States of America (the),Boston Logan International ,Massachusetts
5/21/2020,60,United States of America (the),Boston Logan International ,Massachusetts
5/22/2020,52,United States of America (the),Boston Logan International ,Massachusetts
5/23/2020,51,United States of America (the),Boston Logan International ,Massachusetts
5/24/2020,47,United States of America (the),Boston Logan International ,Massachusetts
5/25/2020,32,United States of America (the),Boston Logan International ,Massachusetts
5/26/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/27/2020,60,United States of America (the),Boston Logan International ,Massachusetts
5/28/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/29/2020,60,United States of America (the),Boston Logan International ,Massachusetts
5/30/2020,55,United States of America (the),Boston Logan International ,Massachusetts
5/31/2020,58,United States of America (the),Boston Logan International ,Massachusetts
6/1/2020,69,United States of America (the),Boston Logan International ,Massachusetts
6/2/2020,72,United States of America (the),Boston Logan International ,Massachusetts
6/3/2020,73,United States of America (the),Boston Logan International ,Massachusetts
6/4/2020,64,United States of America (the),Boston Logan International ,Massachusetts
6/5/2020,63,United States of America (the),Boston Logan International ,Massachusetts
6/6/2020,58,United States of America (the),Boston Logan International ,Massachusetts
6/7/2020,65,United States of America (the),Boston Logan International ,Massachusetts
6/8/2020,60,United States of America (the),Boston Logan International ,Massachusetts
6/9/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/10/2020,66,United States of America (the),Boston Logan International ,Massachusetts
6/11/2020,57,United States of America (the),Boston Logan International ,Massachusetts
6/12/2020,59,United States of America (the),Boston Logan International ,Massachusetts
6/13/2020,64,United States of America (the),Boston Logan International ,Massachusetts
6/14/2020,56,United States of America (the),Boston Logan International ,Massachusetts
6/15/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/16/2020,68,United States of America (the),Boston Logan International ,Massachusetts
6/17/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/18/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/19/2020,59,United States of America (the),Boston Logan International ,Massachusetts
6/20/2020,52,United States of America (the),Boston Logan International ,Massachusetts
6/21/2020,56,United States of America (the),Boston Logan International ,Massachusetts
6/22/2020,58,United States of America (the),Boston Logan International ,Massachusetts
6/23/2020,65,United States of America (the),Boston Logan International ,Massachusetts
6/24/2020,68,United States of America (the),Boston Logan International ,Massachusetts
6/25/2020,55,United States of America (the),Boston Logan International ,Massachusetts
6/26/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/27/2020,54,United States of America (the),Boston Logan International ,Massachusetts
6/28/2020,59,United States of America (the),Boston Logan International ,Massachusetts
6/29/2020,62,United States of America (the),Boston Logan International ,Massachusetts
6/30/2020,61,United States of America (the),Boston Logan International ,Massachusetts
7/1/2020,68,United States of America (the),Boston Logan International ,Massachusetts
7/2/2020,64,United States of America (the),Boston Logan International ,Massachusetts
7/3/2020,57,United States of America (the),Boston Logan International ,Massachusetts
7/4/2020,51,United States of America (the),Boston Logan International ,Massachusetts
7/5/2020,55,United States of America (the),Boston Logan International ,Massachusetts
7/6/2020,65,United States of America (the),Boston Logan International ,Massachusetts
7/7/2020,68,United States of America (the),Boston Logan International ,Massachusetts
7/8/2020,69,United States of America (the),Boston Logan International ,Massachusetts
7/9/2020,64,United States of America (the),Boston Logan International ,Massachusetts
7/10/2020,62,United States of America (the),Boston Logan International ,Massachusetts
7/11/2020,58,United States of America (the),Boston Logan International ,Massachusetts
7/12/2020,64,United States of America (the),Boston Logan International ,Massachusetts
7/13/2020,70,United States of America (the),Boston Logan International ,Massachusetts
7/14/2020,64,United States of America (the),Boston Logan International ,Massachusetts
7/15/2020,70,United States of America (the),Boston Logan International ,Massachusetts
7/16/2020,63,United States of America (the),Boston Logan International ,Massachusetts
7/17/2020,60,United States of America (the),Boston Logan International ,Massachusetts
7/18/2020,62,United States of America (the),Boston Logan International ,Massachusetts
7/19/2020,67,United States of America (the),Boston Logan International ,Massachusetts
7/20/2020,59,United States of America (the),Boston Logan International ,Massachusetts
7/21/2020,91,United States of America (the),Boston Logan International ,Massachusetts
7/22/2020,72,United States of America (the),Boston Logan International ,Massachusetts
7/23/2020,60,United States of America (the),Boston Logan International ,Massachusetts
7/24/2020,67,United States of America (the),Boston Logan International ,Massachusetts
7/25/2020,64,United States of America (the),Boston Logan International ,Massachusetts
7/26/2020,67,United States of America (the),Boston Logan International ,Massachusetts
7/27/2020,71,United States of America (the),Boston Logan International ,Massachusetts
7/28/2020,77,United States of America (the),Boston Logan International ,Massachusetts
7/29/2020,66,United States of America (the),Boston Logan International ,Massachusetts
7/30/2020,62,United States of America (the),Boston Logan International ,Massachusetts
7/31/2020,69,United States of America (the),Boston Logan International ,Massachusetts
8/1/2020,59,United States of America (the),Boston Logan International ,Massachusetts
8/2/2020,68,United States of America (the),Boston Logan International ,Massachusetts
8/3/2020,67,United States of America (the),Boston Logan International ,Massachusetts
8/4/2020,73,United States of America (the),Boston Logan International ,Massachusetts
8/5/2020,68,United States of America (the),Boston Logan International ,Massachusetts
8/6/2020,65,United States of America (the),Boston Logan International ,Massachusetts
8/7/2020,62,United States of America (the),Boston Logan International ,Massachusetts
8/8/2020,63,United States of America (the),Boston Logan International ,Massachusetts
8/9/2020,60,United States of America (the),Boston Logan International ,Massachusetts
8/10/2020,66,United States of America (the),Boston Logan International ,Massachusetts
8/11/2020,63,United States of America (the),Boston Logan International ,Massachusetts
8/12/2020,75,United States of America (the),Boston Logan International ,Massachusetts
8/13/2020,62,United States of America (the),Boston Logan International ,Massachusetts
8/14/2020,68,United States of America (the),Boston Logan International ,Massachusetts
8/15/2020,57,United States of America (the),Boston Logan International ,Massachusetts
8/16/2020,62,United States of America (the),Boston Logan International ,Massachusetts
8/18/2020,67,United States of America (the),Boston Logan International ,Massachusetts
8/19/2020,70,United States of America (the),Boston Logan International ,Massachusetts
8/20/2020,61,United States of America (the),Boston Logan International ,Massachusetts
8/21/2020,66,United States of America (the),Boston Logan International ,Massachusetts
8/22/2020,69,United States of America (the),Boston Logan International ,Massachusetts
8/23/2020,73,United States of America (the),Boston Logan International ,Massachusetts
8/24/2020,67,United States of America (the),Boston Logan International ,Massachusetts
8/25/2020,65,United States of America (the),Boston Logan International ,Massachusetts
8/26/2020,76,United States of America (the),Boston Logan International ,Massachusetts
8/27/2020,61,United States of America (the),Boston Logan International ,Massachusetts
8/28/2020,65,United States of America (the),Boston Logan International ,Massachusetts
8/29/2020,64,United States of America (the),Boston Logan International ,Massachusetts
8/30/2020,75,United States of America (the),Boston Logan International ,Massachusetts
8/31/2020,61,United States of America (the),Boston Logan International ,Massachusetts
9/1/2020,69,United States of America (the),Boston Logan International ,Massachusetts
9/2/2020,75,United States of America (the),Boston Logan International ,Massachusetts
9/3/2020,58,United States of America (the),Boston Logan International ,Massachusetts
9/4/2020,64,United States of America (the),Boston Logan International ,Massachusetts
9/5/2020,59,United States of America (the),Boston Logan International ,Massachusetts
9/6/2020,58,United States of America (the),Boston Logan International ,Massachusetts
9/7/2020,44,United States of America (the),Boston Logan International ,Massachusetts
9/8/2020,64,United States of America (the),Boston Logan International ,Massachusetts
9/9/2020,66,United States of America (the),Boston Logan International ,Massachusetts
9/10/2020,58,United States of America (the),Boston Logan International ,Massachusetts
9/11/2020,65,United States of America (the),Boston Logan International ,Massachusetts
9/12/2020,61,United States of America (the),Boston Logan International ,Massachusetts
9/13/2020,63,United States of America (the),Boston Logan International ,Massachusetts
9/14/2020,69,United States of America (the),Boston Logan International ,Massachusetts
9/15/2020,65,United States of America (the),Boston Logan International ,Massachusetts
9/16/2020,75,United States of America (the),Boston Logan International ,Massachusetts
9/17/2020,62,United States of America (the),Boston Logan International ,Massachusetts
9/18/2020,75,United States of America (the),Boston Logan International ,Massachusetts
9/19/2020,63,United States of America (the),Boston Logan International ,Massachusetts
9/20/2020,56,United States of America (the),Boston Logan International ,Massachusetts
9/21/2020,70,United States of America (the),Boston Logan International ,Massachusetts
9/22/2020,71,United States of America (the),Boston Logan International ,Massachusetts
9/23/2020,77,United States of America (the),Boston Logan International ,Massachusetts
9/24/2020,68,United States of America (the),Boston Logan International ,Massachusetts
9/25/2020,74,United States of America (the),Boston Logan International ,Massachusetts
9/26/2020,66,United States of America (the),Boston Logan International ,Massachusetts
9/27/2020,73,United States of America (the),Boston Logan International ,Massachusetts
9/28/2020,73,United States of America (the),Boston Logan International ,Massachusetts
9/29/2020,73,United States of America (the),Boston Logan International ,Massachusetts
9/30/2020,78,United States of America (the),Boston Logan International ,Massachusetts
10/1/2020,67,United States of America (the),Boston Logan International ,Massachusetts
10/2/2020,66,United States of America (the),Boston Logan International ,Massachusetts
10/3/2020,67,United States of America (the),Boston Logan International ,Massachusetts
10/4/2020,68,United States of America (the),Boston Logan International ,Massachusetts
10/5/2020,66,United States of America (the),Boston Logan International ,Massachusetts
10/6/2020,65,United States of America (the),Boston Logan International ,Massachusetts
10/7/2020,75,United States of America (the),Boston Logan International ,Massachusetts
10/8/2020,61,United States of America (the),Boston Logan International ,Massachusetts
10/9/2020,65,United States of America (the),Boston Logan International ,Massachusetts
10/10/2020,63,United States of America (the),Boston Logan International ,Massachusetts
10/11/2020,65,United States of America (the),Boston Logan International ,Massachusetts
10/12/2020,51,United States of America (the),Boston Logan International ,Massachusetts
10/13/2020,68,United States of America (the),Boston Logan International ,Massachusetts
10/14/2020,76,United States of America (the),Boston Logan International ,Massachusetts
10/15/2020,64,United States of America (the),Boston Logan International ,Massachusetts
10/16/2020,68,United States of America (the),Boston Logan International ,Massachusetts
3/16/2020,100,Canada,Calgary International,Alberta
3/17/2020,100,Canada,Calgary International,Alberta
3/18/2020,94,Canada,Calgary International,Alberta
3/19/2020,96,Canada,Calgary International,Alberta
3/20/2020,96,Canada,Calgary International,Alberta
3/21/2020,73,Canada,Calgary International,Alberta
3/22/2020,58,Canada,Calgary International,Alberta
3/23/2020,100,Canada,Calgary International,Alberta
3/24/2020,99,Canada,Calgary International,Alberta
3/25/2020,91,Canada,Calgary International,Alberta
3/26/2020,91,Canada,Calgary International,Alberta
3/27/2020,89,Canada,Calgary International,Alberta
3/28/2020,72,Canada,Calgary International,Alberta
3/29/2020,100,Canada,Calgary International,Alberta
3/30/2020,100,Canada,Calgary International,Alberta
3/31/2020,91,Canada,Calgary International,Alberta
4/1/2020,94,Canada,Calgary International,Alberta
4/2/2020,89,Canada,Calgary International,Alberta
4/3/2020,83,Canada,Calgary International,Alberta
4/4/2020,51,Canada,Calgary International,Alberta
4/5/2020,65,Canada,Calgary International,Alberta
4/6/2020,100,Canada,Calgary International,Alberta
4/7/2020,97,Canada,Calgary International,Alberta
4/8/2020,91,Canada,Calgary International,Alberta
4/9/2020,94,Canada,Calgary International,Alberta
4/10/2020,24,Canada,Calgary International,Alberta
4/11/2020,37,Canada,Calgary International,Alberta
4/12/2020,69,Canada,Calgary International,Alberta
4/13/2020,88,Canada,Calgary International,Alberta
4/14/2020,98,Canada,Calgary International,Alberta
4/15/2020,95,Canada,Calgary International,Alberta
4/16/2020,90,Canada,Calgary International,Alberta
4/17/2020,88,Canada,Calgary International,Alberta
4/18/2020,64,Canada,Calgary International,Alberta
4/19/2020,84,Canada,Calgary International,Alberta
4/20/2020,100,Canada,Calgary International,Alberta
4/21/2020,100,Canada,Calgary International,Alberta
4/22/2020,90,Canada,Calgary International,Alberta
4/23/2020,95,Canada,Calgary International,Alberta
4/24/2020,89,Canada,Calgary International,Alberta
4/25/2020,80,Canada,Calgary International,Alberta
4/26/2020,72,Canada,Calgary International,Alberta
4/27/2020,100,Canada,Calgary International,Alberta
4/28/2020,99,Canada,Calgary International,Alberta
4/29/2020,95,Canada,Calgary International,Alberta
4/30/2020,89,Canada,Calgary International,Alberta
5/1/2020,88,Canada,Calgary International,Alberta
5/2/2020,78,Canada,Calgary International,Alberta
5/3/2020,100,Canada,Calgary International,Alberta
5/4/2020,100,Canada,Calgary International,Alberta
5/5/2020,92,Canada,Calgary International,Alberta
5/6/2020,92,Canada,Calgary International,Alberta
5/7/2020,86,Canada,Calgary International,Alberta
5/8/2020,79,Canada,Calgary International,Alberta
5/9/2020,71,Canada,Calgary International,Alberta
5/10/2020,92,Canada,Calgary International,Alberta
5/11/2020,100,Canada,Calgary International,Alberta
5/12/2020,99,Canada,Calgary International,Alberta
5/13/2020,85,Canada,Calgary International,Alberta
5/14/2020,90,Canada,Calgary International,Alberta
5/15/2020,83,Canada,Calgary International,Alberta
5/16/2020,65,Canada,Calgary International,Alberta
5/17/2020,64,Canada,Calgary International,Alberta
5/18/2020,21,Canada,Calgary International,Alberta
5/19/2020,91,Canada,Calgary International,Alberta
5/20/2020,85,Canada,Calgary International,Alberta
5/21/2020,85,Canada,Calgary International,Alberta
5/22/2020,80,Canada,Calgary International,Alberta
5/23/2020,63,Canada,Calgary International,Alberta
5/24/2020,77,Canada,Calgary International,Alberta
5/25/2020,100,Canada,Calgary International,Alberta
5/26/2020,100,Canada,Calgary International,Alberta
5/27/2020,92,Canada,Calgary International,Alberta
5/28/2020,98,Canada,Calgary International,Alberta
5/29/2020,83,Canada,Calgary International,Alberta
5/30/2020,62,Canada,Calgary International,Alberta
5/31/2020,95,Canada,Calgary International,Alberta
6/1/2020,96,Canada,Calgary International,Alberta
6/2/2020,92,Canada,Calgary International,Alberta
6/3/2020,87,Canada,Calgary International,Alberta
6/4/2020,86,Canada,Calgary International,Alberta
6/5/2020,86,Canada,Calgary International,Alberta
6/6/2020,65,Canada,Calgary International,Alberta
6/7/2020,99,Canada,Calgary International,Alberta
6/8/2020,100,Canada,Calgary International,Alberta
6/9/2020,93,Canada,Calgary International,Alberta
6/10/2020,85,Canada,Calgary International,Alberta
6/11/2020,87,Canada,Calgary International,Alberta
6/12/2020,86,Canada,Calgary International,Alberta
6/13/2020,64,Canada,Calgary International,Alberta
6/14/2020,100,Canada,Calgary International,Alberta
6/15/2020,100,Canada,Calgary International,Alberta
6/16/2020,96,Canada,Calgary International,Alberta
6/17/2020,87,Canada,Calgary International,Alberta
6/18/2020,90,Canada,Calgary International,Alberta
6/19/2020,88,Canada,Calgary International,Alberta
6/20/2020,74,Canada,Calgary International,Alberta
6/21/2020,87,Canada,Calgary International,Alberta
6/22/2020,100,Canada,Calgary International,Alberta
6/23/2020,91,Canada,Calgary International,Alberta
6/24/2020,89,Canada,Calgary International,Alberta
6/25/2020,90,Canada,Calgary International,Alberta
6/26/2020,90,Canada,Calgary International,Alberta
6/27/2020,80,Canada,Calgary International,Alberta
6/28/2020,81,Canada,Calgary International,Alberta
6/29/2020,100,Canada,Calgary International,Alberta
6/30/2020,89,Canada,Calgary International,Alberta
7/1/2020,27,Canada,Calgary International,Alberta
7/2/2020,77,Canada,Calgary International,Alberta
7/3/2020,83,Canada,Calgary International,Alberta
7/4/2020,90,Canada,Calgary International,Alberta
7/5/2020,100,Canada,Calgary International,Alberta
7/6/2020,100,Canada,Calgary International,Alberta
7/7/2020,97,Canada,Calgary International,Alberta
7/8/2020,89,Canada,Calgary International,Alberta
7/9/2020,86,Canada,Calgary International,Alberta
7/10/2020,90,Canada,Calgary International,Alberta
7/11/2020,76,Canada,Calgary International,Alberta
7/12/2020,100,Canada,Calgary International,Alberta
7/13/2020,100,Canada,Calgary International,Alberta
7/14/2020,96,Canada,Calgary International,Alberta
7/15/2020,86,Canada,Calgary International,Alberta
7/16/2020,87,Canada,Calgary International,Alberta
7/17/2020,89,Canada,Calgary International,Alberta
7/18/2020,77,Canada,Calgary International,Alberta
7/19/2020,67,Canada,Calgary International,Alberta
7/20/2020,100,Canada,Calgary International,Alberta
7/21/2020,92,Canada,Calgary International,Alberta
7/22/2020,89,Canada,Calgary International,Alberta
7/23/2020,88,Canada,Calgary International,Alberta
7/24/2020,86,Canada,Calgary International,Alberta
7/25/2020,68,Canada,Calgary International,Alberta
7/26/2020,96,Canada,Calgary International,Alberta
7/27/2020,100,Canada,Calgary International,Alberta
7/28/2020,100,Canada,Calgary International,Alberta
7/29/2020,86,Canada,Calgary International,Alberta
7/30/2020,93,Canada,Calgary International,Alberta
7/31/2020,90,Canada,Calgary International,Alberta
8/1/2020,79,Canada,Calgary International,Alberta
8/2/2020,100,Canada,Calgary International,Alberta
8/3/2020,29,Canada,Calgary International,Alberta
8/4/2020,92,Canada,Calgary International,Alberta
8/5/2020,89,Canada,Calgary International,Alberta
8/6/2020,89,Canada,Calgary International,Alberta
8/7/2020,89,Canada,Calgary International,Alberta
8/8/2020,70,Canada,Calgary International,Alberta
8/9/2020,100,Canada,Calgary International,Alberta
8/10/2020,100,Canada,Calgary International,Alberta
8/11/2020,100,Canada,Calgary International,Alberta
8/12/2020,90,Canada,Calgary International,Alberta
8/13/2020,90,Canada,Calgary International,Alberta
8/14/2020,91,Canada,Calgary International,Alberta
8/15/2020,81,Canada,Calgary International,Alberta
8/16/2020,91,Canada,Calgary International,Alberta
8/18/2020,100,Canada,Calgary International,Alberta
8/19/2020,98,Canada,Calgary International,Alberta
8/20/2020,90,Canada,Calgary International,Alberta
8/21/2020,92,Canada,Calgary International,Alberta
8/22/2020,89,Canada,Calgary International,Alberta
8/23/2020,100,Canada,Calgary International,Alberta
8/24/2020,100,Canada,Calgary International,Alberta
8/25/2020,100,Canada,Calgary International,Alberta
8/26/2020,100,Canada,Calgary International,Alberta
8/27/2020,96,Canada,Calgary International,Alberta
8/28/2020,100,Canada,Calgary International,Alberta
8/29/2020,87,Canada,Calgary International,Alberta
8/30/2020,100,Canada,Calgary International,Alberta
8/31/2020,100,Canada,Calgary International,Alberta
9/1/2020,97,Canada,Calgary International,Alberta
9/2/2020,92,Canada,Calgary International,Alberta
9/3/2020,97,Canada,Calgary International,Alberta
9/4/2020,96,Canada,Calgary International,Alberta
9/5/2020,67,Canada,Calgary International,Alberta
9/6/2020,76,Canada,Calgary International,Alberta
9/7/2020,21,Canada,Calgary International,Alberta
9/8/2020,93,Canada,Calgary International,Alberta
9/9/2020,93,Canada,Calgary International,Alberta
9/10/2020,100,Canada,Calgary International,Alberta
9/11/2020,100,Canada,Calgary International,Alberta
9/12/2020,90,Canada,Calgary International,Alberta
9/13/2020,100,Canada,Calgary International,Alberta
9/14/2020,100,Canada,Calgary International,Alberta
9/15/2020,100,Canada,Calgary International,Alberta
9/16/2020,99,Canada,Calgary International,Alberta
9/17/2020,99,Canada,Calgary International,Alberta
9/18/2020,100,Canada,Calgary International,Alberta
9/19/2020,94,Canada,Calgary International,Alberta
9/20/2020,100,Canada,Calgary International,Alberta
9/21/2020,100,Canada,Calgary International,Alberta
9/22/2020,100,Canada,Calgary International,Alberta
9/23/2020,97,Canada,Calgary International,Alberta
9/24/2020,95,Canada,Calgary International,Alberta
9/25/2020,95,Canada,Calgary International,Alberta
9/26/2020,78,Canada,Calgary International,Alberta
9/27/2020,95,Canada,Calgary International,Alberta
9/28/2020,100,Canada,Calgary International,Alberta
9/29/2020,100,Canada,Calgary International,Alberta
9/30/2020,96,Canada,Calgary International,Alberta
10/1/2020,96,Canada,Calgary International,Alberta
10/2/2020,96,Canada,Calgary International,Alberta
10/3/2020,88,Canada,Calgary International,Alberta
10/4/2020,80,Canada,Calgary International,Alberta
10/5/2020,100,Canada,Calgary International,Alberta
10/6/2020,100,Canada,Calgary International,Alberta
10/7/2020,99,Canada,Calgary International,Alberta
10/8/2020,98,Canada,Calgary International,Alberta
10/9/2020,89,Canada,Calgary International,Alberta
10/10/2020,91,Canada,Calgary International,Alberta
10/11/2020,92,Canada,Calgary International,Alberta
10/12/2020,19,Canada,Calgary International,Alberta
10/13/2020,99,Canada,Calgary International,Alberta
10/14/2020,94,Canada,Calgary International,Alberta
10/15/2020,95,Canada,Calgary International,Alberta
10/16/2020,93,Canada,Calgary International,Alberta
3/16/2020,91,United States of America (the),Charlotte Douglas International,North Carolina
3/17/2020,90,United States of America (the),Charlotte Douglas International,North Carolina
3/18/2020,76,United States of America (the),Charlotte Douglas International,North Carolina
3/19/2020,77,United States of America (the),Charlotte Douglas International,North Carolina
3/20/2020,80,United States of America (the),Charlotte Douglas International,North Carolina
3/21/2020,73,United States of America (the),Charlotte Douglas International,North Carolina
3/22/2020,86,United States of America (the),Charlotte Douglas International,North Carolina
3/23/2020,72,United States of America (the),Charlotte Douglas International,North Carolina
3/24/2020,78,United States of America (the),Charlotte Douglas International,North Carolina
3/25/2020,71,United States of America (the),Charlotte Douglas International,North Carolina
3/26/2020,66,United States of America (the),Charlotte Douglas International,North Carolina
3/27/2020,59,United States of America (the),Charlotte Douglas International,North Carolina
3/28/2020,42,United States of America (the),Charlotte Douglas International,North Carolina
3/29/2020,50,United States of America (the),Charlotte Douglas International,North Carolina
3/30/2020,77,United States of America (the),Charlotte Douglas International,North Carolina
3/31/2020,80,United States of America (the),Charlotte Douglas International,North Carolina
4/1/2020,71,United States of America (the),Charlotte Douglas International,North Carolina
4/2/2020,65,United States of America (the),Charlotte Douglas International,North Carolina
4/3/2020,64,United States of America (the),Charlotte Douglas International,North Carolina
4/4/2020,31,United States of America (the),Charlotte Douglas International,North Carolina
4/5/2020,49,United States of America (the),Charlotte Douglas International,North Carolina
4/6/2020,73,United States of America (the),Charlotte Douglas International,North Carolina
4/7/2020,62,United States of America (the),Charlotte Douglas International,North Carolina
4/8/2020,66,United States of America (the),Charlotte Douglas International,North Carolina
4/9/2020,67,United States of America (the),Charlotte Douglas International,North Carolina
4/10/2020,40,United States of America (the),Charlotte Douglas International,North Carolina
4/11/2020,37,United States of America (the),Charlotte Douglas International,North Carolina
4/12/2020,38,United States of America (the),Charlotte Douglas International,North Carolina
4/13/2020,62,United States of America (the),Charlotte Douglas International,North Carolina
4/14/2020,61,United States of America (the),Charlotte Douglas International,North Carolina
4/15/2020,70,United States of America (the),Charlotte Douglas International,North Carolina
4/16/2020,66,United States of America (the),Charlotte Douglas International,North Carolina
4/17/2020,60,United States of America (the),Charlotte Douglas International,North Carolina
4/18/2020,32,United States of America (the),Charlotte Douglas International,North Carolina
4/19/2020,63,United States of America (the),Charlotte Douglas International,North Carolina
4/20/2020,67,United States of America (the),Charlotte Douglas International,North Carolina
4/21/2020,69,United States of America (the),Charlotte Douglas International,North Carolina
4/22/2020,77,United States of America (the),Charlotte Douglas International,North Carolina
4/23/2020,69,United States of America (the),Charlotte Douglas International,North Carolina
4/24/2020,69,United States of America (the),Charlotte Douglas International,North Carolina
4/25/2020,46,United States of America (the),Charlotte Douglas International,North Carolina
4/26/2020,48,United States of America (the),Charlotte Douglas International,North Carolina
4/27/2020,70,United States of America (the),Charlotte Douglas International,North Carolina
4/28/2020,70,United States of America (the),Charlotte Douglas International,North Carolina
4/29/2020,81,United States of America (the),Charlotte Douglas International,North Carolina
4/30/2020,76,United States of America (the),Charlotte Douglas International,North Carolina
5/1/2020,62,United States of America (the),Charlotte Douglas International,North Carolina
5/2/2020,44,United States of America (the),Charlotte Douglas International,North Carolina
5/3/2020,57,United States of America (the),Charlotte Douglas International,North Carolina
5/4/2020,74,United States of America (the),Charlotte Douglas International,North Carolina
5/5/2020,62,United States of America (the),Charlotte Douglas International,North Carolina
5/6/2020,74,United States of America (the),Charlotte Douglas International,North Carolina
5/7/2020,68,United States of America (the),Charlotte Douglas International,North Carolina
5/8/2020,76,United States of America (the),Charlotte Douglas International,North Carolina
5/9/2020,51,United States of America (the),Charlotte Douglas International,North Carolina
5/10/2020,55,United States of America (the),Charlotte Douglas International,North Carolina
5/11/2020,66,United States of America (the),Charlotte Douglas International,North Carolina
5/12/2020,71,United States of America (the),Charlotte Douglas International,North Carolina
5/13/2020,79,United States of America (the),Charlotte Douglas International,North Carolina
5/14/2020,72,United States of America (the),Charlotte Douglas International,North Carolina
